artist,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
Yuvan Shankar Raja,Yaaro Ucchikilai Meley,5bevVJ1zMWutZ3rQulAp62,,0.646,0.756,8,-5.316,0,0.0446,0.00638,0.14,0.503,179.998,177867,
Yuvan Shankar Raja,Dope Track,0GsPq1bRLjXG82ya1hJWiT,,0.533,0.711,0,-5.058,0,0.0537,1e-05,0.161,0.474,79.997,250684,
Yuvan Shankar Raja,Adadada Arrambame,2R1R0N5CC2VMinXync9CgA,,0.648,0.749,5,-7.734,0,0.191,1.43e-05,0.0413,0.682,150.027,227000,
Yuvan Shankar Raja,Vandha Kadha,2eilJpx0bKCA0AEVrWYJOV,,0.727,0.765,6,-5.036,0,0.12,0.0,0.0726,0.813,66.484,212292,
Yuvan Shankar Raja,No Money No Honey,7wduEoLSXYggQqimn5LEP0,,0.691,0.934,1,-3.408,1,0.185,0.000206,0.198,0.832,79.428,324267,
Yuvan Shankar Raja,Aambalaikum Pombalaikum,3vli2UCALTW8ujkqWpiyk8,,0.856,0.682,1,-8.146,1,0.157,0.00379,0.224,0.767,127.982,301173,
Yuvan Shankar Raja,Yedho Mayakkam,5MGdVJRHRfZ95yWQ2hCwRC,,0.8,0.751,1,-4.972,1,0.0347,0.437,0.0676,0.354,121.983,262533,
Yuvan Shankar Raja,En Kadhal Solla,1vzxYeTJ9dTtyJXkNWVJDZ,,0.874,0.412,0,-5.746,0,0.0313,0.00684,0.102,0.56,105.019,293893,
Various Artists,Aaraaroo,5BjvsB6Yg1TSXDI7XcgWYO,,0.584,0.366,5,-8.958,0,0.0327,2.18e-05,0.0696,0.0723,139.903,328286,
Yuvan Shankar Raja,Nahna Na Nah,0TKh7b5rpmvydOl9FvSyXL,,0.803,0.594,8,-6.202,1,0.0381,0.00387,0.0767,0.593,92.007,267640,
Yuvan Shankar Raja,My Name is Billa,0e4YHAzkjKIuGw5JgmbGEA,,0.563,0.946,9,-4.753,1,0.0713,0.667,0.166,0.641,67.51,234800,
Ravikrishna,Kan Pesum Varthaigal,7fu8lcM9N3rVjWZr9ky6Nd,,0.77,0.731,10,-9.328,0,0.0597,0.0255,0.0746,0.856,80.99,348291,
Yuvan Shankar Raja,Stylish Thamizhachi,3SwCB7tN5NxOrXURK1cx2A,,0.676,0.86,0,-4.271,0,0.131,0.0,0.059,0.665,80.01,264387,
Yuvan Shankar Raja,Aedho Saigirai,4XFNtx84dAt6jxKEniIVuY,,0.639,0.641,0,-8.381,0,0.0321,0.00113,0.0937,0.366,84.992,292960,
Yuvan Shankar Raja,Va Va Nilava,0WsrXGGgS019oXTosbXxNQ,,0.785,0.595,10,-7.047,1,0.0878,0.00442,0.116,0.798,84.947,283765,
Yuvan Shankar Raja,Arabu Naadu,7JqpYvigO9X4QY3W9QTArZ,,0.745,0.46,5,-9.92,0,0.0614,1.06e-06,0.0751,0.802,84.994,322013,
Yuvan Shankar Raja,Loosu Pennae,3hw1iGc2WAhHG4DFPcu80r,,0.669,0.53,5,-6.827,0,0.126,0.000484,0.099,0.522,192.383,407448,
Yuvan Shankar Raja,Vilayaadu Mankatha,5HlKYvZ7iVQN3tcNSny6TN,,0.813,0.635,1,-5.949,1,0.0693,0.00204,0.606,0.222,97.984,363307,
Yuvan Shankar Raja,Cable Raja,7aXTJLef4bYEJlNDFQfpMa,,0.753,0.924,1,-4.405,1,0.185,6.48e-05,0.564,0.609,80.994,239267,
Yuvan Shankar Raja,Sil Sil Mazhaiye,0Q1uCKplCYa0s4RoQ7QLTK,,0.851,0.878,10,-4.895,1,0.0543,1.42e-05,0.0516,0.962,119.963,232920,
Yuvan Shankar Raja,Machaan Machaan,096wyG5zJ7oUaZqOCGmmqH,,0.627,0.682,10,-10.807,0,0.0895,0.00195,0.127,0.817,173.968,324840,
Yuvan Shankar Raja,Azhagae,7f4PeWSkfMCE5DsoxxkXnK,,0.722,0.684,8,-6.315,1,0.0307,0.0238,0.0763,0.617,139.968,245571,
Yuvan Shankar Raja,Iayyayo,53BDFOlAHccjfoxe06JKpc,,0.759,0.457,5,-6.339,1,0.0335,0.0,0.0848,0.57,89.998,275017,
Various Artists,Nenjodu,2P6cnymlCyV6CMk2DO84sa,,0.42,0.429,6,-10.9,1,0.0419,3.36e-06,0.0633,0.3,113.277,385306,
Yuvan Shankar Raja,Goa - Club Mix,3RsEmtEJdqqeugDvxOLo2u,,0.748,0.827,1,-5.804,1,0.0398,0.0231,0.335,0.672,129.981,306387,
Yuvan Shankar Raja,Rasathi,2yzAJ3au0Bj8dAAflZCCjp,,0.77,0.665,8,-5.784,1,0.0698,0.000259,0.114,0.436,104.973,293013,
Yuvan Shankar Raja,Enna Enna Aagiren,6wNZFAMVfEVtMcFmGZ4P7r,,0.756,0.474,5,-8.245,0,0.0292,0.206,0.09,0.349,104.99,276414,
Yuvan Shankar Raja,Paravaiye Engu Irukkirai,7acN9HaStRBkP2UTOOpQ9q,,0.829,0.622,3,-10.679,0,0.0512,0.000538,0.209,0.757,129.969,369360,
Yuvan Shankar Raja,Iragai Poley,3FRLxtpSk9BxxnxdS6I4jq,,0.875,0.539,3,-8.364,0,0.0367,0.0047,0.116,0.305,115.004,317739,
Yuvan Shankar Raja,Innum Enna Azaghae Un Idhayathil,6AHzQxvbX1VHPPYsL8yxIR,,0.591,0.488,7,-7.803,0,0.031,2.67e-06,0.0879,0.339,82.543,148909,
Yuvan Shankar Raja,Poo Mudhal Pen Varai,6eHVWYpKCeqKkGwSyjPz7a,,0.822,0.84,8,-5.254,1,0.0693,0.0146,0.414,0.727,134.99,275267,
Yuvan Shankar Raja,En Fuse Pochu,2StGyGUbGAeXiPXbkBvU4s,,0.679,0.554,3,-7.078,0,0.0303,0.0,0.145,0.501,104.964,282853,
Yuvan Shankar Raja,Sudasuda Thooral,14FlUUB2fyxHFLQ7PYGrqp,,0.718,0.729,3,-5.458,0,0.0294,0.0117,0.0887,0.274,119.987,306507,
Ravikrishna,Idhu Porkalama,4RKhMRE7Opb5GJUeKjwutk,,0.877,0.71,0,-10.127,1,0.0517,0.027,0.0324,0.917,110.013,187350,
Yuvan Shankar Raja,Pom Pom Penne,1tchOSJNnjKwiD6Jcfa6qr,,0.564,0.536,0,-7.193,0,0.0577,2.33e-06,0.102,0.423,72.487,266013,
Yuvan Shankar Raja,"Therikkudhu Masss (From ""Masss"")",0dN7cNgWCc7AAprHmmlKEE,,0.7,0.832,10,-3.703,1,0.0439,0.000508,0.0582,0.523,139.996,283203,
Yuvan Shankar Raja,En Pondaati Ooruku Poita,056pRXBQ3397Qypsz7peQV,,0.636,0.87,9,-5.496,1,0.166,0.0091,0.124,0.5,159.992,221190,
Yuvan Shankar Raja,Manmadhane Nee,0CkDv2V3FFhltON32OwE0x,,0.614,0.77,5,-6.622,0,0.0574,0.000144,0.405,0.423,89.91,271340,
Yuvan Shankar Raja,Where Is the Party,45LZkeAJNMpiMCCBcb2sep,,0.55,0.92,1,-4.057,1,0.0564,0.000927,0.212,0.668,135.805,318507,
Yuvan Shankar Raja,Kaadhal Endral,5jXrULyYKHjkAMk4TXZFoG,,0.638,0.324,0,-7.787,0,0.0321,3.35e-05,0.151,0.446,129.932,87133,
Yuvan Shankar Raja,Machi Open the Bottle,6YcBBZVKYYRirfeAt6BeGA,,0.485,0.92,5,-6.243,1,0.277,0.000339,0.216,0.767,169.944,285973,
Yuvan Shankar Raja,Idhayathai Oru Nodi,38qcqn2srF8tJWCW2Ltk4Y,,0.625,0.532,10,-6.048,0,0.0315,0.00187,0.0849,0.408,144.903,226758,
Yuvan Shankar Raja,Chinna Chinnathai,4w40zgyB1Jr7MZGPbKGcx0,,0.677,0.75,11,-12.062,0,0.0535,3.96e-05,0.0864,0.802,92.015,321071,
Yuvan Shankar Raja,Thavani Pootta,3wydawoyVWid46mYMj1wdk,,0.552,0.727,3,-8.437,0,0.274,0.000172,0.0545,0.68,165.025,262922,
Yuvan Shankar Raja,Nizhalinai Nijamum,0OjxbGBEYKbJ0jagRD8gUJ,,0.903,0.471,5,-10.66,0,0.0467,0.000216,0.176,0.908,115.99,321120,
Yuvan Shankar Raja,Unnakaagathane Inthauriyrullathu,4FkMh52ydCzaPYJ8oRkQEf,,0.764,0.575,7,-9.989,1,0.0298,0.000279,0.0824,0.675,110.002,290427,
Yuvan Shankar Raja,Unn Badhil Vendi,5wHRzbzZhlrFClgnoeRXWW,,0.566,0.512,3,-6.994,0,0.0447,1.72e-06,0.111,0.193,164.878,263000,
Various Artists,Mellasirithal Kadhalthan,6ZiRnakANUR0kDfIYuAFgQ,,0.713,0.761,8,-5.532,1,0.0547,0.0,0.0333,0.582,92.977,237720,
Various Artists,Kaadhal Mattum,4zFslHyvzkWccR8K0HvseM,,0.754,0.488,11,-10.944,0,0.0769,7.36e-06,0.361,0.877,74.996,366640,
Ravikrishna,Kanaa Kaanum,27kBsV6kTd88QA3aR5Lzs5,,0.777,0.635,10,-8.99,0,0.0783,2.41e-06,0.111,0.361,100.0,329927,
Yuvan Shankar Raja,Suthudhe Suthudhe,7fGcPKzKiXAVL0mqesq4dT,,0.793,0.844,1,-8.593,0,0.0385,0.0123,0.0979,0.591,119.994,295907,
Yuvan Shankar Raja,Dheivangal Ellaam,19ZQT32TiC6SrzeWj4O94f,,0.411,0.293,5,-10.393,1,0.0298,0.000591,0.0721,0.139,179.81,175333,
Yuvan Shankar Raja,Neee,1McaIKO8wDupIW1X11miFH,,0.66,0.77,8,-7.313,0,0.0419,0.00841,0.126,0.296,130.001,205845,
Yuvan Shankar Raja,Neethane,5I09bcjyhaIe6PbWv8nhsM,,0.712,0.854,0,-3.8,0,0.0355,0.00692,0.0493,0.48,110.016,313998,
Vijay Yesudas,Dosth Bada Dosth,4ptIaLY13Xp76iqbcqiSRJ,,0.746,0.751,0,-5.549,0,0.0326,0.00564,0.123,0.9,139.973,280216,
Various Artists,Kaatriley Nadanthene,7fGcqJW2DBmIznQB31iSRE,,0.631,0.485,10,-8.704,0,0.0381,3.68e-06,0.138,0.401,150.107,296465,
Yuvan Shankar Raja,Maari’s Aanandhi,7rXAo8EAnXAZFVBZ4NCGPN,,0.637,0.357,0,-9.917,0,0.0246,0.0151,0.15,0.313,98.004,259592,
Yuvan Shankar Raja,Nee... Naan...,6wpZs56ppGrSUUcqY8UPXv,,0.79,0.42,2,-10.738,0,0.0398,0.000117,0.114,0.309,100.008,247053,
Yuvan Shankar Raja,Edhirthu Nill,5JZGFSGzpRkEksBPu8n1kY,,0.795,0.755,6,-6.031,0,0.0441,1.09e-06,0.047,0.606,123.962,261347,
Yuvan Shankar Raja,Madurai Micheal Theme,4zL4sWqtmdUcas3RfitxLr,,0.584,0.774,0,-6.21,1,0.0362,0.818,0.196,0.562,126.057,119571,
Various Artists,Thottu Thottu,75D1UiVMf8wOhNQCCaSU3c,,0.789,0.727,1,-9.534,1,0.0709,0.000355,0.099,0.581,94.9,315985,
Yuvan Shankar Raja,Chedi Onnu,6CxsEgfXcsvgW7dqk0dFJX,,0.681,0.709,5,-6.285,0,0.0329,0.023,0.202,0.517,119.993,158563,
Yuvan Shankar Raja,Aathadi Manasudhan,19MRAxznRvejs0DNu8MhoC,,0.639,0.476,3,-7.675,0,0.043,0.0523,0.0865,0.353,160.093,309667,
Yuvan Shankar Raja,Jalsa,2h0HT7nycVvIite5nlSCGM,,0.902,0.593,7,-7.717,1,0.129,0.00347,0.813,0.604,99.999,236800,
Yuvan Shankar Raja,Gangster,3d32X1JXSXTH32lyK20SkS,,0.767,0.706,2,-4.749,0,0.0319,0.336,0.339,0.298,121.993,247600,
Yuvan Shankar Raja,Evan Di Una Pethan,42KTXZZ4qTHmjlBvmpegwL,,0.723,0.82,8,-3.899,1,0.03,2.97e-05,0.0481,0.337,126.025,356293,
Yuvan Shankar Raja,Sutta Suriyane,1BE80aE0v7T5qUA6c4AVuS,,0.79,0.933,5,-5.432,0,0.0659,0.0567,0.0739,0.635,130.028,274106,
Yuvan Shankar Raja,Aanandha Yaazhai,1vKbVB1nOAVxUtqmNAstLw,,0.768,0.335,10,-8.132,1,0.0378,0.0,0.105,0.65,120.011,217000,
Yuvan Shankar Raja,High On Love,0Qx4qHUrekqPQ4TMjpWAMY,,0.628,0.775,4,-4.96,0,0.04,8.53e-06,0.111,0.563,149.964,240169,
Yuvan Shankar Raja,Kaadhal Vaithu,6MnXtzaXUOYQ3SbPuqpZaz,,0.659,0.776,10,-8.0,0,0.0373,0.0674,0.197,0.669,100.247,309000,
Yuvan Shankar Raja,Thuli Thuli,2uqXfUERVBLa1heEoUTBlO,,0.709,0.528,7,-7.429,0,0.0309,0.00189,0.112,0.649,91.999,283347,
Yuvan Shankar Raja,Pul Pesum,4471rad24MYRpYY6hVSwwV,,0.777,0.714,7,-7.21,1,0.0818,0.00656,0.544,0.64,92.001,318000,
Yuvan Shankar Raja,Seval Kodi,5pfCT1UcILp1HtgzS7EPpE,,0.748,0.98,8,-4.821,1,0.0611,0.0546,0.087,0.887,131.037,292453,
Yuvan Shankar Raja,Oru Vaanavillin Pakkathile,3cSx1a2a106rLVrL7EwyMq,,0.828,0.694,5,-7.412,0,0.0462,5.28e-05,0.208,0.791,145.012,285521,
Yuvan Shankar Raja,Vuroram puliamaram,5Briokyzx0tjRz0MKLp9nO,,0.375,0.875,5,-5.65,0,0.336,0.00012,0.099,0.858,76.487,390002,
Yuvan Shankar Raja,En Anbay,0iiKXZoWOO6TCveUlOKluj,,0.466,0.593,11,-10.981,1,0.152,5.35e-06,0.136,0.163,110.172,286198,
Yuvan Shankar Raja,Yelelu Thalamuraikkum,7hiiTkgz1rCnoVPIqxOYGw,,0.543,0.828,7,-4.423,0,0.218,4.17e-06,0.0976,0.907,156.09,326467,
Various Artists,Thathi Thathi,62qMGfrTMRZPrpYwuZDe0m,,0.573,0.467,1,-12.551,1,0.0531,0.00347,0.232,0.538,99.997,167695,
Yuvan Shankar Raja,En Aasai Mythiliye,5rbGnNysQbvPegFcEoboQ8,,0.552,0.844,1,-9.007,1,0.13,0.000438,0.0813,0.822,79.493,261590,
Yuvan Shankar Raja,Poongatre Poongatre,2cbRVHdH6ab9sPsnQjFRx6,,0.825,0.669,5,-9.117,0,0.0475,0.169,0.329,0.767,119.993,319907,
Yuvan Shankar Raja,Biriyani,1UUN5R2BvIHziABL6jzJ5V,,0.759,0.793,5,-6.293,0,0.278,0.00471,0.514,0.584,160.017,197093,
Sub Urban,Cradles,18A7ha5BitZjmdHTCwXFbU,,0.581,0.585,1,-1.87,1,0.369,6.48e-05,0.179,0.63,67.443,209829,
IC3PEAK,TRRST,4A0YuzcYuEEP8A3oEZTddL,,0.597,0.529,0,-9.207,1,0.0865,4.59e-05,0.372,0.146,134.825,184000,
grandson,Blood // Water,0AUyNF6iFxMNQsNx2nhtrw,,0.51,0.882,8,-5.659,0,0.159,0.00206,0.0764,0.653,154.029,216721,
Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,,0.678,0.533,4,-10.485,1,0.186,0.219,0.139,0.323,150.455,180953,
MARINA,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,,0.495,0.856,0,-5.123,0,0.0311,0.0,0.103,0.609,158.024,154667,
Full Tac,Where's My Juul??,7bGM2SqJN2Ibe5UgeMSloG,,0.745,0.805,2,-4.7,1,0.311,1.34e-05,0.632,0.379,128.259,105938,
Poppy,I Disagree,5E09pgezFesGrk4ZL9T2cc,,0.355,0.867,0,-4.596,1,0.0737,0.0,0.325,0.357,180.111,193500,
OmenXIII,LED,2XH2w3lHRhbZ9D5lUjVVRC,,0.659,0.659,2,-6.623,1,0.297,0.0,0.348,0.611,200.158,134452,
Poppy,X,2W2QiVQs0TugOUUYWgnV8E,,0.495,0.856,6,-4.105,0,0.0918,0.00313,0.261,0.482,114.169,174483,
Poppy,Concrete,015EEnzb9yU7gfyyeYYYxy,,0.17,0.947,9,-5.399,1,0.348,0.00125,0.248,0.216,176.024,200744,
Penelope Scott,Rät,25z6kpmIwkCUqk2IORrJ5v,,0.591,0.45,5,-13.291,0,0.26,0.000116,0.147,0.304,144.201,194165,
Penelope Scott,Mommy Fwiend,0QvDeiL26aVprKt8OKVcQC,,0.472,0.273,0,-9.132,0,0.051,6.35e-06,0.109,0.646,137.541,210539,
Jazmin Bean,Monster Truck,1bYg42gARlsX4iKQPDYs7l,,0.711,0.652,9,-8.063,1,0.0675,0.0122,0.354,0.391,105.016,236670,
Jazmin Bean,War Zone Urchin,6eNX0vkfGvUBedvtnbLDxa,,0.248,0.647,7,-9.231,0,0.0532,6.32e-05,0.274,0.176,99.756,242304,
BigKlit,Liar,53yWQ1FObrwPlVYCZdR6es,,0.883,0.492,7,-12.118,1,0.354,0.0,0.166,0.59,94.959,146526,
Sub Urban,Freak (feat. REI AMI),5jkbw3FDS3bSSb4oLKYbjf,,0.619,0.45,7,-11.965,0,0.515,0.0,0.513,0.41,179.755,194000,
Lil Darkie,FUCK YOU I AM VERY ANGRY AND SERIOUS,14LCrkKYSplTLYlWK3BBZ5,,0.775,0.979,7,1.789,1,0.385,0.00453,0.372,0.566,125.892,88452,
GRLwood,I'm Yer Dad,0GxbglYySl18aZDIaGu1RU,,0.551,0.953,0,-4.695,1,0.17,0.474,0.118,0.176,128.462,144109,
Ashnikko,Tantrum,3htJKHlAjUoRmNLheJ8uTV,,0.777,0.787,9,-4.71,1,0.0732,0.0,0.0685,0.698,138.043,140011,
GRLwood,Nice Guy,3TNDk80olTuIGAABva4Teb,,0.361,0.983,1,-3.139,0,0.157,0.017,0.0963,0.203,126.711,93098,
KAMAARA,I Wanna Bitch Like Dillion Harper,1RPXpk7oHjhEVvNSDtHruZ,,0.771,0.872,8,-4.996,1,0.321,2.82e-05,0.137,0.51,144.956,105971,
Ghostemane,I duckinf hatw you,6LHhaWs0HzuPhflDWiVtp1,,0.671,0.962,4,-5.509,1,0.481,0.00663,0.376,0.183,114.003,117895,
BVDLVD,PUNK!,0tbiMAiZLLjZS50ogqPX32,,0.658,0.952,1,-3.129,1,0.515,0.0,0.136,0.856,140.144,180585,
BigKlit,FSU,5wHs3O2fHwCFpB1tUrfqvc,,0.922,0.503,1,-8.154,1,0.0646,8.13e-05,0.0778,0.112,99.962,132000,
Jazmin Bean,Birthday Bitch,6oGC8yJo0FAd4L7Cqp4zJ8,,0.356,0.609,7,-8.79,1,0.0597,3.18e-05,0.0737,0.159,119.984,216874,
Lil Darkie,HAHA,18Gcl5bxdd8bpBhWOj1rCR,,0.714,0.82,1,-1.102,1,0.444,0.0,0.0801,0.904,78.032,160000,
Zheani,Fear Is the Mind Killer,7LFaFad4d6LhYt7gaX2H2S,,0.557,0.828,10,-3.317,1,0.0978,0.321,0.137,0.278,119.919,153018,
Ashnikko,STUPID (feat. Yung Baby Tate),6qNB2ChCVPepl5ZjVJJTUW,,0.772,0.637,2,-6.881,1,0.114,0.0,0.0778,0.54,149.906,167317,
Ricky Desktop,The Bard's Last Note,3VSc3H3iFGzKp18A5wDDTj,,0.898,0.653,8,-10.555,1,0.526,0.0,0.0857,0.588,128.066,126419,
Lil Lucifer,Fuck Off,1dcLvp1L5vluBb21NVOtuW,,0.809,0.857,9,-4.598,1,0.111,0.0,0.145,0.614,115.023,125217,
Hobo Johnson,Typical Story,3EY1vEkydU2oguC17jzhTZ,,0.421,0.935,7,-2.601,1,0.438,0.0,0.165,0.645,155.855,191069,
Mindless Self Indulgence,Witness,0OSyytXWtlGrjXpeta3Idg,,0.56,0.925,6,-3.821,0,0.0872,0.0231,0.355,0.629,146.024,196651,
Ava Toton,Charm School Dropout,33oNtuysBAGspNa4yRMnVJ,,0.509,0.864,11,-8.409,0,0.0888,4.19e-06,0.412,0.551,110.041,176953,
Slipknot,Custer,3GiJq4AQK7324mfIQbpiTf,,0.407,0.98,7,-1.58,1,0.107,0.000112,0.119,0.537,131.066,254467,
biz,TOKYO CANNIBALISM,4A75rI3sn3eBnL0wXMvovE,,0.438,0.97,11,-1.426,0,0.183,0.0,0.103,0.385,174.935,191229,
Mother Mother,Burning Pile,0zMAvsQmaQ4DGsmXtKixpn,,0.516,0.755,5,-3.724,1,0.0383,0.00103,0.107,0.165,140.099,262173,
Mother Mother,Arms Tonite,1rRwwqteLePmi70PGaC8ah,,0.687,0.646,4,-3.841,1,0.039,0.000593,0.161,0.323,139.978,216667,
Mindless Self Indulgence,Faggot,09RhTAi0nuzCs5KS2XWSs5,,0.63,0.76,1,-10.347,1,0.115,0.000856,0.0766,0.561,152.042,163707,
Pink Guy,She's So Nice,0Dfctnkk9xIikDKJ06uwzo,,0.828,0.577,6,-7.656,0,0.158,0.0,0.0814,0.587,86.339,163493,
Panic! At The Disco,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,,0.506,0.817,11,-5.051,0,0.0335,0.0,0.0486,0.506,109.952,208707,
Unlike Pluto,Everything Black,3UEnF6y5tyHVtMzldS3svp,,0.62,0.864,5,-4.334,0,0.114,0.0,0.117,0.395,98.059,228980,
AJR,Burn the House Down,4u8Gkqyg87iGSW3hQbbnQZ,,0.454,0.66,0,-4.357,1,0.168,0.0,0.181,0.568,184.353,212689,
Set It Off,Partners in Crime (feat. Ash Costello),4oaU0fMSg3n9kqOwmLPVhH,,0.376,0.939,1,-3.437,1,0.0572,0.0,0.116,0.815,190.109,211027,
Halsey,Control,3SKzTIl9mW0DadTys9SFo3,,0.549,0.675,4,-5.637,0,0.0332,0.0,0.181,0.206,119.898,214762,
Hozier,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,,0.566,0.664,4,-5.303,0,0.0464,0.0,0.116,0.437,128.945,241693,
Michael Bublé,Feeling Good,3I09LQbHS3NSU46Ly3tPpR,,0.535,0.548,1,-6.51,1,0.037,1.48e-06,0.123,0.477,115.144,237333,
Billie Eilish,COPYCAT,5w7wuzMzsDer96KqxafeRK,,0.679,0.388,4,-10.977,0,0.0932,9.25e-05,0.341,0.234,124.909,194711,
Scissor Sisters,I Can't Decide,1zyGFId8xHOcRmCmehrwlc,,0.69,0.795,3,-4.956,1,0.0312,0.0,0.202,0.872,96.99,166573,
Weathers,Happy Pills,3zjjzKg16tczCMwckGKGuH,,0.521,0.885,4,-4.934,0,0.125,0.00904,0.324,0.344,115.985,203080,
Sir Chloe,Michelle,3sa1wUB8FAkoH95MGPGBWI,,0.366,0.439,4,-5.238,1,0.0298,1.92e-05,0.108,0.11,115.94,214088,
I DONT KNOW HOW BUT THEY FOUND ME,Choke,37mfTcSlX60JtAvAETytGs,,0.516,0.85,4,-3.909,0,0.0706,0.0,0.296,0.583,120.324,195717,
Ashnikko,Daisy,0AUvWawuP0ibk4SQ3sIZjk,,0.834,0.663,8,-6.143,1,0.133,0.0,0.372,0.774,121.876,146523,
Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,,0.726,0.444,8,-8.922,0,0.372,0.143,0.177,0.569,185.044,168840,
Halsey,Gasoline,2IO7yf562c1zLzpanal1DT,,0.731,0.58,10,-7.328,0,0.0399,0.0,0.129,0.319,119.997,199593,
Britney Spears,Criminal,6T689Jvh5KrSXyaPtUWZtQ,,0.696,0.734,7,-5.294,1,0.0298,0.0,0.183,0.711,107.987,225080,
Ellise,911,6dusf13SeuKTa3dnxVmH3f,,0.698,0.611,10,-6.754,0,0.0686,5.3e-06,0.0587,0.507,130.098,190000,
LoveLeo,BOYFREN,3WmgMoWZ1E5yNyn2aUzWAr,,0.846,0.364,1,-7.328,1,0.0602,0.011,0.0902,0.682,79.927,136956,
Tessa Violet,Wishful Drinking,0Pq9K4yZlPwjjRMeIkBCpg,,0.809,0.35,7,-7.818,0,0.305,4.58e-06,0.117,0.402,68.015,195110,
Arctic Monkeys,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,,0.691,0.631,2,-6.478,1,0.0368,1.13e-05,0.104,0.8,92.004,161124,
5 Seconds of Summer,Teeth,26wLOs3ZuHJa2Ihhx6QIE6,,0.756,0.448,3,-2.993,0,0.0404,3.87e-06,0.11,0.431,139.031,204887,
